day;avg_sa
1;0.001644
2;0.0023850000000000004
3;0.003115
4;0.0038650000000000004
5;0.004738
6;0.005577
7;0.00628
8;0.007045
9;0.007816
10;0.008485
11;0.009253
12;0.009958999999999999
13;0.010798
14;0.011349
15;0.012042
16;0.012829
17;0.01351
18;0.014103
19;0.014849
20;0.015581
21;0.016244
22;0.01694
23;0.017574000000000003
24;0.018344000000000003
25;0.018944
26;0.019629
27;0.020232
28;0.020758
29;0.021272
30;0.021886
31;0.022493
32;0.02318
33;0.023773
34;0.024416
35;0.02496
36;0.0256
37;0.026080000000000002
38;0.02666
39;0.027336
40;0.02811
41;0.028745999999999997
42;0.029348
43;0.030049
44;0.030631
45;0.031219
46;0.031639
47;0.032179
48;0.032695999999999996
49;0.033326
50;0.033913000000000006
51;0.034664
52;0.035281
53;0.035931
54;0.036576
55;0.037036
56;0.037615
57;0.038271
58;0.038968
59;0.039551
60;0.040084
61;0.040677
62;0.041451
63;0.042037
64;0.042719
65;0.043421999999999995
66;0.044198
67;0.044783
68;0.045264000000000006
69;0.045861
70;0.046408
71;0.047034999999999993
72;0.047543
73;0.048129
74;0.048954
75;0.049634
76;0.050252000000000005
77;0.050879
78;0.051478
79;0.052098
80;0.052636
81;0.053567000000000004
82;0.054299
83;0.054837000000000004
84;0.055426
85;0.056178
86;0.056655000000000004
87;0.057099
88;0.057688
89;0.058444
90;0.059052999999999994
91;0.059702
92;0.060325000000000004
93;0.060927
94;0.061378999999999996
95;0.06216000000000001
96;0.062921
97;0.06362899999999999
98;0.064081
99;0.064431
100;0.064938
101;0.065431
102;0.066011
103;0.06683599999999999
104;0.067405
105;0.068146
106;0.06866
107;0.06929900000000001
108;0.069828
109;0.070445
110;0.071087
111;0.07180800000000001
112;0.07248399999999999
113;0.073175
114;0.073802
115;0.07425
116;0.07504300000000001
117;0.075737
118;0.07621299999999999
119;0.076902
120;0.077441
121;0.07797499999999999
122;0.078692
123;0.079504
124;0.07992400000000001
125;0.080443
126;0.081057
127;0.081624
128;0.082248
129;0.08312399999999999
130;0.083965
131;0.084686
132;0.08506699999999999
133;0.08579099999999999
134;0.086414
135;0.08706900000000001
136;0.08764
137;0.08818000000000001
138;0.089007
139;0.08964799999999999
140;0.090018
141;0.090386
142;0.090975
143;0.091472
144;0.09207699999999999
145;0.09266100000000001
146;0.093163
147;0.09367
148;0.094141
149;0.094733
150;0.095389
151;0.096041
152;0.096622
153;0.097135
154;0.09786199999999999
155;0.09839400000000001
156;0.098803
157;0.09948
158;0.10006399999999999
159;0.10051500000000001
160;0.101187
161;0.101772
162;0.102585
163;0.103227
164;0.103837
165;0.104279
166;0.105162
167;0.106006
168;0.10697100000000001
169;0.10768000000000001
170;0.108528
171;0.109011
172;0.109624
173;0.110327
174;0.110728
175;0.111243
176;0.11198000000000001
177;0.112551
178;0.11320999999999999
179;0.114268
180;0.114679
181;0.115187
182;0.115751
183;0.116192
184;0.116937
185;0.117479
186;0.117976
187;0.118649
188;0.11937099999999999
189;0.11984600000000001
190;0.12059700000000001
191;0.12133200000000001
192;0.12206700000000001
193;0.122637
194;0.123136
195;0.123589
196;0.124288
197;0.124929
198;0.125223
199;0.125942
200;0.126427
